id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
199480,37.74557,-122.41187,Apartment,Private room,1.5,1,6,$80.00 ,94110
201313,37.8034,-122.40485,Condominium,Entire home/apt,1,1,30,$182.00 ,94111
201579,37.77756,-122.43326,Apartment,Entire home/apt,1.5,1,30,$136.00 ,94117
206566,37.79507,-122.40498,House,Shared room,2.5,1,30,$30.00 ,94104
206634,37.79466,-122.40523,House,Shared room,2.5,1,30,$30.00 ,94104
206637,37.79291,-122.40637,House,Shared room,2.5,1,30,$30.00 ,94108
207980,37.74446,-122.43776,House,Entire home/apt,1,3,2,$295.00 ,94131
208727,37.78265,-122.48971,Apartment,Private room,2.5,1,30,$79.00 ,94118
208831,37.80242,-122.4144,Guest suite,Entire home/apt,1,1,3,$165.00 ,94111
209514,37.77118,-122.44963,House,Private room,2,1,1,$92.00 ,94117
212265,37.75551,-122.40882,Condominium,Entire home/apt,2,2,5,$178.00 ,94110
212783,37.77108,-122.44942,House,Private room,2,1,1,$98.00 ,94117
213532,37.77085,-122.44811,House,Private room,2,1,1,$78.00 ,94117
213854,37.76146,-122.43817,Apartment,Entire home/apt,2,3,30,$325.00 ,94114
216042,37.74382,-122.41773,House,Entire home/apt,1,1,5,$147.00 ,94110
216064,37.72652,-122.43468,House,Private room,2,1,2,$75.00 ,94112
217106,37.76468,-122.44523,Apartment,Entire home/apt,1,0,30,$110.00 ,94114
220418,37.77042,-122.45019,House,Private room,2,1,1,$78.00 ,94117
221342,37.80281,-122.4154,Condominium,Private room,2.5,1,2,$139.00 ,94111
224579,37.75632,-122.40478,House,Entire home/apt,1,1,2,$145.00 ,94110
225933,37.7684,-122.43086,Apartment,Private room,1,1,3,$99.00 ,94117
226594,37.76968,-122.45193,Apartment,Private room,0.5,1,1,$120.00 ,94117
229240,37.79341,-122.4034,Hostel,Shared room,,1,1,$45.00 ,94104
229319,37.73819,-122.41566,Apartment,Entire home/apt,1,1,30,$135.00 ,94110
231129,37.79114,-122.41029,Townhouse,Entire home/apt,4,4,2,$989.00 ,94108
231752,37.75565,-122.44022,Apartment,Entire home/apt,1,1,30,$250.00 ,94114
232060,37.75855,-122.46444,Guest suite,Entire home/apt,1,1,30,$99.00 ,94122
238190,37.80301,-122.41581,Condominium,Private room,1,1,2,$99.00 ,94111
238204,37.74174,-122.50435,Guest suite,Entire home/apt,1,1,3,$135.00 ,94116
241235,37.79271,-122.40383,Hostel,Shared room,0,1,1,$45.00 ,94104
242008,37.77499,-122.40635,Apartment,Entire home/apt,1,1,3,$160.00 ,94103
244361,37.79532,-122.40863,Apartment,Entire home/apt,1,2,30,$135.00 ,94108
245339,37.78304,-122.41942,Condominium,Entire home/apt,1,1,30,$136.00 ,94102
252867,37.75889,-122.39539,Condominium,Entire home/apt,1,3,6,$280.00 ,94158
256148,37.76188,-122.44215,Condominium,Private room,1,1,1,$139.00 ,94114
256176,37.77579,-122.45504,Guest suite,Private room,1,1,2,$100.00 ,94118
258873,37.80134,-122.40714,Apartment,Private room,1,1,2,$89.00 ,94111
259621,37.7947,-122.40374,Hostel,Shared room,,1,1,$45.00 ,94104
259622,37.79441,-122.40473,Hostel,Shared room,,1,1,$45.00 ,94104
259919,37.7647,-122.45368,Apartment,Entire home/apt,1,1,30,$114.00 ,94114
261358,37.78322,-122.42025,Condominium,Entire home/apt,1,0,30,$138.00 ,94102
269371,37.76294,-122.43974,Apartment,Private room,1.5,1,2,$115.00 ,94114
269463,37.76711,-122.45151,Apartment,Entire home/apt,1,1,2,$250.00 ,94117
271602,37.77899,-122.40506,Condominium,Entire home/apt,1,1,30,$133.00 ,94103
271647,37.75553,-122.50707,Apartment,Shared room,1.5,1,30,$35.00 ,94122
273530,37.75612,-122.39967,Condominium,Entire home/apt,2,2,4,$325.00 ,94158
274334,37.75346,-122.50358,House,Private room,1,1,3,$89.00 ,94122
276072,37.76833,-122.42592,Apartment,Private room,1,1,2,$97.00 ,94117
